school,category,city
Università di CASERTA,Università,CASERTA
Università di TERNI,Università,TERNI
Università di ROMA,Università,ROMA
Università di LECCE,Università,LECCE
Scuola Elementare di FOGGIA,Scuola Elementare,FOGGIA
Scuola Elementare di ROMA,Scuola Elementare,ROMA
Scuola Elementare di PALERMO,Scuola Elementare,PALERMO
Scuola Media di PALERMO,Scuola Media,PALERMO
Scuola Elementare di LECCE,Scuola Elementare,LECCE
Scuola Superiore di CASERTA,Scuola Superiore,CASERTA
Scuola Elementare di TERNI,Scuola Elementare,TERNI
Scuola Elementare di VERONA,Scuola Elementare,VERONA
Scuola Superiore di AREZZO,Scuola Superiore,AREZZO
Scuola Media di AREZZO,Scuola Media,AREZZO
Scuola Superiore di BIELLA,Scuola Superiore,BIELLA
Scuola Superiore di LECCE,Scuola Superiore,LECCE
Università di LUCCA,Università,LUCCA
Scuola Superiore di PALERMO,Scuola Superiore,PALERMO
Università di VERONA,Università,VERONA
Scuola Superiore di LUCCA,Scuola Superiore,LUCCA
Scuola Elementare di CASERTA,Scuola Elementare,CASERTA
Scuola Media di ROMA,Scuola Media,ROMA
Scuola Superiore di TERNI,Scuola Superiore,TERNI
Scuola Media di TERNI,Scuola Media,TERNI
Scuola Superiore di AOSTA,Scuola Superiore,AOSTA
Scuola Media di FOGGIA,Scuola Media,FOGGIA
Scuola Media di CASERTA,Scuola Media,CASERTA
Scuola Media di LECCE,Scuola Media,LECCE
Scuola Media di AOSTA,Scuola Media,AOSTA
Università di FOGGIA,Università,FOGGIA
Scuola Superiore di PADOVA,Scuola Superiore,PADOVA
Scuola Superiore di VERONA,Scuola Superiore,VERONA
Scuola Superiore di ROMA,Scuola Superiore,ROMA
Scuola Superiore di FOGGIA,Scuola Superiore,FOGGIA
Scuola Media di BIELLA,Scuola Media,BIELLA
Scuola Superiore di ROVIGO,Scuola Superiore,ROVIGO
Università di VICENZA,Università,VICENZA
Università di ROVIGO,Università,ROVIGO
Scuola Superiore di L'AQUILA,Scuola Superiore,L'AQUILA
Scuola Superiore di FERRARA,Scuola Superiore,FERRARA
Scuola Superiore di SAVONA,Scuola Superiore,SAVONA
Scuola Superiore di RAGUSA,Scuola Superiore,RAGUSA
Scuola Superiore di PISA,Scuola Superiore,PISA
Scuola Superiore di REGGIO DI CALABRIA,Scuola Superiore,REGGIO DI CALABRIA
Università di PISA,Università,PISA
Università di L'AQUILA,Università,L'AQUILA
Scuola Superiore di BARI,Scuola Superiore,BARI
Università di SAVONA,Università,SAVONA
Università di REGGIO DI CALABRIA,Università,REGGIO DI CALABRIA
Università di RAGUSA,Università,RAGUSA
Università di GORIZIA,Università,GORIZIA
Università di TRIESTE,Università,TRIESTE
Università di BIELLA,Università,BIELLA
Università di VARESE,Università,VARESE
Università di OSSOLA,Università,OSSOLA
Università di RIMINI,Università,RIMINI
Università di LA SPEZIA,Università,LA SPEZIA
Università di MACERATA,Università,MACERATA
Scuola Elementare di LA SPEZIA,Scuola Elementare,LA SPEZIA
Scuola Elementare di TRIESTE,Scuola Elementare,TRIESTE
Scuola Elementare di GORIZIA,Scuola Elementare,GORIZIA
Scuola Elementare di BIELLA,Scuola Elementare,BIELLA
Scuola Elementare di OSSOLA,Scuola Elementare,OSSOLA
Scuola Superiore di GORIZIA,Scuola Superiore,GORIZIA
Scuola Elementare di MACERATA,Scuola Elementare,MACERATA
Scuola Superiore di SASSARI,Scuola Superiore,SASSARI
Scuola Superiore di FIRENZE,Scuola Superiore,FIRENZE
Scuola Superiore di CREMONA,Scuola Superiore,CREMONA
Scuola Superiore di GROSSETO,Scuola Superiore,GROSSETO
Università di CREMONA,Università,CREMONA
Università di FERRARA,Università,FERRARA
Scuola Superiore di TARANTO,Scuola Superiore,TARANTO
Università di ANCONA,Università,ANCONA
Scuola Superiore di ANCONA,Scuola Superiore,ANCONA
Università di FROSINONE,Università,FROSINONE
Scuola Superiore di FROSINONE,Scuola Superiore,FROSINONE
Scuola Superiore di PIACENZA,Scuola Superiore,PIACENZA
Università di FIRENZE,Università,FIRENZE
Università di TARANTO,Università,TARANTO
Università di GROSSETO,Università,GROSSETO
Università di LECCO,Università,LECCO
Università di IMPERIA,Università,IMPERIA
Università di MESSINA,Università,MESSINA
Scuola Media di IMPERIA,Scuola Media,IMPERIA
Scuola Elementare di SAVONA,Scuola Elementare,SAVONA
Scuola Media di LECCO,Scuola Media,LECCO
