workplace,category,city
Azienda di AREZZO,Azienda,AREZZO
Ospedale di AREZZO,Ospedale,AREZZO
Ufficio di LECCE,Ufficio,LECCE
Ospedale di LECCE,Ospedale,LECCE
Azienda di BARI,Azienda,BARI
Ufficio di BARI,Ufficio,BARI
Azienda di LECCE,Azienda,LECCE
Fabbrica di LECCE,Fabbrica,LECCE
Azienda di VERONA,Azienda,VERONA
Ufficio di BIELLA,Ufficio,BIELLA
Azienda di BIELLA,Azienda,BIELLA
Fabbrica di BIELLA,Fabbrica,BIELLA
Azienda di LUCCA,Azienda,LUCCA
Fabbrica di LUCCA,Fabbrica,LUCCA
Ufficio di LUCCA,Ufficio,LUCCA
Azienda di TERNI,Azienda,TERNI
Ospedale di TERNI,Ospedale,TERNI
Fabbrica di TERNI,Fabbrica,TERNI
Ufficio di TERNI,Ufficio,TERNI
Azienda di FOGGIA,Azienda,FOGGIA
Ospedale di FOGGIA,Ospedale,FOGGIA
Fabbrica di FOGGIA,Fabbrica,FOGGIA
Ufficio di FOGGIA,Ufficio,FOGGIA
Fabbrica di ROMA,Fabbrica,ROMA
Ufficio di ROMA,Ufficio,ROMA
Ospedale di ROMA,Ospedale,ROMA
Azienda di ROMA,Azienda,ROMA
Fabbrica di AOSTA,Fabbrica,AOSTA
Ospedale di AOSTA,Ospedale,AOSTA
Azienda di AOSTA,Azienda,AOSTA
Ufficio di PADOVA,Ufficio,PADOVA
Ospedale di PADOVA,Ospedale,PADOVA
Fabbrica di PADOVA,Fabbrica,PADOVA
Azienda di PADOVA,Azienda,PADOVA
Ufficio di PALERMO,Ufficio,PALERMO
Fabbrica di PALERMO,Fabbrica,PALERMO
Azienda di PALERMO,Azienda,PALERMO
Ospedale di PALERMO,Ospedale,PALERMO
Fabbrica di CASERTA,Fabbrica,CASERTA
Ufficio di CASERTA,Ufficio,CASERTA
Azienda di CASERTA,Azienda,CASERTA
Fabbrica di AREZZO,Fabbrica,AREZZO
Ospedale di BIELLA,Ospedale,BIELLA
Ospedale di LUCCA,Ospedale,LUCCA
Fabbrica di VERONA,Fabbrica,VERONA
Ufficio di AOSTA,Ufficio,AOSTA
Ospedale di ROVIGO,Ospedale,ROVIGO
Ufficio di ROVIGO,Ufficio,ROVIGO
